group_dimension,group_order,group_label,algorithm_family,t_model_id,t_plus_ad_model_id,sample_count,roc_auc_gain,average_precision_gain,log_loss_gain,brier_gain,mean_calibrated_pd_change,gain_status,missing_metric_reason
bureau_history,6,4_to_5,mlp,mlp_T,mlp_T_plus_AD,16478,0.0076805038841706,-0.0006080467906017,0.0006604089126246,2.1109527884009133e-05,-5.1500655238706505e-05,PASS,
bureau_history,7,gt_5,logit,logit_T,logit_T_plus_AD,40495,0.0167248075829518,0.0045300860192507,0.0013742512579553,8.30004933683702e-05,-0.0003470943169171,PASS,
bureau_history,7,gt_5,lightgbm,lightgbm_T,lightgbm_T_plus_AD,40495,0.011191749131508,0.0066964154037111,0.0012720519535905,8.761986905535604e-05,-0.0003854534597934,PASS,
bureau_history,7,gt_5,mlp,mlp_T,mlp_T_plus_AD,40495,0.0097475272345375,0.0061561884953375,0.0010643153389087,6.929610059421346e-05,-0.0004810093503302,PASS,
ad_richness,1,0,logit,logit_T,logit_T_plus_AD,17190,0.0062997599367935,0.0006286544196631,0.0021123700470686,0.0001333167559465,0.0108765058713602,PASS,
ad_richness,1,0,lightgbm,lightgbm_T,lightgbm_T_plus_AD,17190,0.0086793765623265,0.0062019266803121,0.0024003721701545,0.0002670136384427,0.0095342850327003,PASS,
ad_richness,1,0,mlp,mlp_T,mlp_T_plus_AD,17190,0.006394102332722,-0.0024319151498154,0.0018348368775773,0.0001150191805946,0.0099269869268982,PASS,
ad_richness,2,1,logit,logit_T,logit_T_plus_AD,191459,0.016938791521415,0.0038298272866425,0.0015430174581306,9.341494466123464e-05,-0.0002508637500327,PASS,
ad_richness,2,1,lightgbm,lightgbm_T,lightgbm_T_plus_AD,191459,0.0144989182907314,0.0057359042997232,0.001627156241761,0.0001166138630908,-0.0001729992361105,PASS,
ad_richness,2,1,mlp,mlp_T,mlp_T_plus_AD,191459,0.0158549115503718,0.0042459402901349,0.0016801503521539,9.977021103363055e-05,-0.0003562556112553,PASS,
ad_richness,3,2,logit,logit_T,logit_T_plus_AD,12456,0.0180290172050903,0.0089065532888814,0.0022055895959428,0.0002951197436138,-0.0083483880461759,PASS,
ad_richness,3,2,lightgbm,lightgbm_T,lightgbm_T_plus_AD,12456,0.0196593075450259,0.0089557045081956,0.0027103212059801,0.0003074975677249,-0.0077919897848628,PASS,
ad_richness,3,2,mlp,mlp_T,mlp_T_plus_AD,12456,0.0088656077183607,0.0012882693432274,0.0013246251051178,0.0001673536177172,-0.0088595925380434,PASS,
ad_richness,4,3,logit,logit_T,logit_T_plus_AD,7894,0.0316837933533684,0.0136553381951234,0.0033755279899678,0.0002679141163988,-0.0044771990041443,PASS,
ad_richness,4,3,lightgbm,lightgbm_T,lightgbm_T_plus_AD,7894,0.0360618314937148,0.0163331581873193,0.0043520002622837,0.0003462821431974,-0.004511659536459,PASS,
ad_richness,4,3,mlp,mlp_T,mlp_T_plus_AD,7894,0.0275313796907964,0.0275998160663548,0.0036382518918097,0.0004489792256997,-0.0059536054829993,PASS,
