common_risk_budget_percent,common_risk_budget_probability,is_external_display_point,model_id,selected_calibration_method,maximum_feasible_approval_rate_percent,approved_count,rejected_count,boundary_calibrated_pd_cutoff,approved_portfolio_mean_calibrated_pd,cumulative_expected_defaults,realised_approved_defaults,realised_approved_non_defaults,realised_approved_default_rate,budget_slack,feasibility_flag,status,stable_tie_break_rule
0.94,0.0094,False,mlp_T_plus_AD,identity,51.38013703116607,117660,111339,0.0200624167919158,0.0093999753602989,1106.0011008927686,1106,116554,0.0093999660037395,2.4639701100628852e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.95,0.0095,False,mlp_T_plus_AD,identity,51.85961510748955,118758,110241,0.0203478410840034,0.0094999418061333,1128.194089012788,1131,117627,0.0095235689385136,5.8193866619635215e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.96,0.0096,False,mlp_T_plus_AD,identity,52.33603640190569,119849,109150,0.0206306744366884,0.0095999519421316,1150.5446403125388,1149,118700,0.0095870637218499,4.805786832720593e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.97,0.0097,False,mlp_T_plus_AD,identity,52.808964231284854,120932,108067,0.0209108851850032,0.0096999973542106,1173.0400800393982,1173,119759,0.0096996659279595,2.645789384456143e-09,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.98,0.0098,False,mlp_T_plus_AD,identity,53.27796191249743,122006,106993,0.021204276010394,0.0097999639483445,1195.654401481719,1205,120801,0.0098765634476992,3.6051655499455555e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
0.99,0.0099,False,mlp_T_plus_AD,identity,53.74346612867305,123072,105927,0.0214919857680797,0.0098999560507767,1218.4073910812003,1232,121840,0.0100104004160166,4.3949223217307216e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.0,0.01,True,mlp_T_plus_AD,identity,54.20504019668208,124129,104870,0.0217894539237022,0.0099999456437385,1241.2832528116269,1251,122878,0.0100782250723038,5.4356261415533513e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.01,0.0101,False,mlp_T_plus_AD,identity,54.663120799654145,125178,103821,0.022083343937993,0.0100999973981432,1264.2974743047816,1280,123898,0.0102254389748997,2.601856702311167e-09,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.02,0.0102,False,mlp_T_plus_AD,identity,55.117271254459624,126218,102781,0.0223888047039508,0.0101999905044762,1287.4224014939828,1305,124913,0.0103392543060419,9.495523754440849e-09,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.03,0.0103,False,mlp_T_plus_AD,identity,55.56749156109852,127249,101750,0.0226947739720344,0.010299991295064,1310.663592305602,1320,125929,0.0103733624625733,8.704935976905359e-09,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.04,0.0104,False,mlp_T_plus_AD,identity,56.01334503644121,128270,100729,0.0230032261461019,0.0103999060290949,1333.9959463520065,1337,126933,0.0104233257971466,9.397090507297369e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.05,0.0105,False,mlp_T_plus_AD,identity,56.45614172987655,129284,99715,0.0233133509755134,0.0104999677062034,1357.4778249288065,1361,127923,0.010527211410538,3.2293796553561904e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.06,0.0106,False,mlp_T_plus_AD,identity,56.89500827514531,130289,98710,0.0236186627298593,0.0105999795334125,1381.0607334287924,1390,128899,0.0106685905947547,2.0466587414419424e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.07,0.0107,False,mlp_T_plus_AD,identity,57.32994467224748,131285,97714,0.023935779929161,0.0106999441303607,1404.7421651544137,1420,129865,0.0108161633088319,5.586963922922517e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.08,0.0108,False,mlp_T_plus_AD,identity,57.76138760431268,132273,96726,0.0242400486022233,0.0107999385218552,1428.5402681013657,1444,130829,0.0109168159790735,6.147814470350288e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.09,0.0109,False,mlp_T_plus_AD,identity,58.189773754470544,133254,95745,0.0245426297187805,0.0108999955135703,1452.468002165304,1468,131786,0.0110165548501358,4.486429646191614e-09,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.1,0.011,False,mlp_T_plus_AD,identity,58.61422975646182,134226,94773,0.024876719340682,0.0109999666759906,1476.4815270515246,1487,132739,0.0110783305767884,3.3324009322821535e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.11,0.0111,False,mlp_T_plus_AD,identity,59.03475561028651,135189,93810,0.0251955725252628,0.0110999412886712,1500.5899628741754,1512,133677,0.0111843419213101,5.8711328767419024e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.12,0.0112,False,mlp_T_plus_AD,identity,59.451787999074234,136144,92855,0.0255124177783727,0.0111999363878173,1524.8041395830078,1539,134605,0.0113042073099071,6.36121826325109e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.13,0.0113,False,mlp_T_plus_AD,identity,59.86532692282499,137091,91908,0.025825560092926,0.011299902974943,1549.1149987379176,1565,135526,0.0114157749232261,9.702505694882124e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.14,0.0114,False,mlp_T_plus_AD,identity,60.27580906466841,138031,90968,0.0261480156332254,0.0113998954164726,1573.5389642311347,1590,136441,0.011519151494954,1.0458352736261722e-07,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
1.15,0.0115,False,mlp_T_plus_AD,identity,60.68279774147485,138963,90036,0.0264885146170854,0.0114999194774728,1598.063310348065,1616,137347,0.0116289947683915,8.052252711138187e-08,True,FEASIBLE,"selected calibrated PD ascending, then frozen base_order ascending"
